Resumo geral;Pagamentos pendentes;Pagamentos finalizados;Valor total
 ;$ 0,00;$ 55.875,19;$ 55.875,19
Descrição;Veículo;Fornecedor;Funcionário;Viagem;Data de cadastro;Data de vencimento;Data de pagamento;Valor total;Pago?
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 586,94;$ 586,94
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";02/03/2025 08:49:00;27/08/2025 09:21:00;27/08/2025 09:21:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33057;PARAR SOBRE FAIXA DE PEDESTRE;1;$ 130,16;$ 130,16
MULTA;"";DETRAN MT;"";"";02/03/2025 08:49:00;27/08/2025 09:44:00;27/08/2025 09:44:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33057;PARAR SOBRE FAIXA DE PEDESTRE;1;$ 130,16;$ 130,16
MULTA;SPO5H53 - FIAT/STRADA FREEDOM CD13;DETRAN MT;"";"";25/02/2025 12:10:00;30/08/2025 10:16:00;30/08/2025 10:16:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33189;ESTACIONAR EM DESACORDO COM A REGULAÇAO;1;$ 195,23;$ 195,23
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";25/02/2025 02:38:00;30/08/2025 08:30:00;30/08/2025 08:30:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 260,32;$ 260,32
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";22/02/2025 13:09:00;28/08/2025 09:04:00;28/08/2025 09:04:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";21/02/2025 07:27:00;27/08/2025 09:24:00;27/08/2025 09:24:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";21/02/2025 07:27:00;27/08/2025 09:45:00;27/08/2025 09:45:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";12/02/2025 15:11:00;30/08/2025 08:32:00;30/08/2025 08:32:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33046;TRANSITAR VELOCIDADE SUP A MAX PERMIT 20% 50%;1;$ 195,23;$ 195,23
MULTA;JYU-1051 - VOLKSWAGEN 8.120;DETRAN MT;"";"";03/02/2025 02:40:00;27/08/2025 13:09:00;27/08/2025 13:09:00;$ 586,94;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 586,94;$ 586,94
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";29/01/2025 03:14:00;30/08/2025 08:34:00;30/08/2025 08:34:00;$ 586,94;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 586,94;$ 586,94
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";29/01/2025 03:13:00;28/08/2025 09:05:00;28/08/2025 09:05:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 260,32;$ 260,32
MULTA;OQB-6A99 - FIAT/STRADA WORKING;DETRAN MT;"";"";27/01/2025 02:43:00;29/08/2025 14:02:00;29/08/2025 14:02:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 260,32;$ 260,32
MULTA;OQB-6A99 - FIAT/STRADA WORKING;DETRAN MT;"";"";21/01/2025 15:10:00;29/08/2025 14:07:00;29/08/2025 14:07:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33046;TRANSITAR VELOCIDADE SUP A MAX PERMIT 20% 50%;1;$ 195,23;$ 195,23
MULTA;JYU-1051 - VOLKSWAGEN 8.120;DETRAN MT;"";"";21/01/2025 02:47:00;27/08/2025 13:20:00;27/08/2025 13:20:00;$ 586,94;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 586,94;$ 586,94
MULTA;KAH8I62 - HONDA CG 125;DETRAN MT;"";"";18/01/2025 12:56:00;27/08/2025 13:59:00;27/08/2025 13:59:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA EM ABERTO;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";19/12/2024 13:21:00;16/09/2025 10:08:00;10/09/2025 15:16:00;$ 104,13;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 104,13;$ 104,13
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";15/12/2024 09:43:00;30/08/2025 08:35:00;30/08/2025 08:35:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;BAV6C31 - VW/8.160 DRC 4X2;DETRAN MT;"";"";14/12/2024 16:26:00;26/08/2025 14:32:00;26/08/2025 14:36:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;SPL-3D99 - VW/DELIVERY 11.180;DETRAN MT;"";"";14/12/2024 09:35:00;30/08/2025 09:54:00;30/08/2025 09:54:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA EM ABERTO;SPI7B71 - CARRETINHA;DETRAN MT;"";"";13/12/2024 05:45:00;09/09/2025 14:18:00;09/09/2025 12:37:00;$ 104,13;O
"";ID;Item;Quantidade;Valor unitário;Valor total
